tick;ClassName;InstanceName;Description;Market;BidType;PriceOffered;PriceCleared;QuantityOffered;QuantityAssigned;Capacity;MustRunViolation
25;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;2,92;2026,25;2026,25;2026,25;
26;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;8967;8967;8967;
26;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;1992,5;1992,5;1992,5;
27;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;8967;8967;8967;
27;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2001,75;2001,75;2001,75;
28;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9047;9047;9047;
28;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2029;2029;2029;
29;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9047;9047;9047;
29;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2090;2090;2090;
30;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9047;9047;9047;
30;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2051,75;2051,75;2051,75;
31;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9047;9047;9047;
31;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2062,5;2062,5;2062,5;
32;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9146;9146;9146;
32;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2096;2096;2096;
33;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9146;9146;9146;
33;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2146,75;2146,75;2146,75;
34;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9146;9146;9146;
34;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2125,5;2125,5;2125,5;
35;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9146;9146;9146;
35;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2183;2183;2183;
36;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,3;9452;9452;9452;
36;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,3;2303,5;2303,5;2303,5;
37;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9452;9452;9452;
37;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2408,25;2408,25;2408,25;
38;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9452;9452;9452;
38;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2368,75;2368,75;2368,75;
39;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9452;9452;9452;
39;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2336;2336;2336;
40;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,87;9892;9892;9892;
40;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,87;2441;2441;2441;
41;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,3;9892;9892;9892;
