tick;ClassName;InstanceName;Description;Market;BidType;PriceOffered;PriceCleared;QuantityOffered;QuantityAssigned;Capacity;MustRunViolation
106;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;-62,72;10;10;40;
107;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;-62,72;10;10;40;
108;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;-62,72;10;10;40;
109;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;-63,26;10;10;40;
110;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;-63,26;10;10;40;
111;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;-63,26;10;10;40;
114;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;-62,16;10;10;40;
115;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;-62,16;10;10;40;
116;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;-44,77;10;10;40;
118;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;-59,79;10;10;40;
119;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;-59,79;10;10;40;
120;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;26,85;10;10;40;
122;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;21,87;10;10;40;
124;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;35,25;10;10;40;
126;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;24,49;10;10;40;
128;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;35,4;10;10;40;
140;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;40,02;10;10;40;
141;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;39,35;10;10;40;
142;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;39,35;10;10;40;
143;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;39,35;10;10;40;
148;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;39,35;10;10;40;
149;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;39,35;10;10;40;
152;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;38,71;10;10;40;
156;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;40,02;10;10;40;
157;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;40,02;10;10;40;
162;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;40,82;10;10;40;
163;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;40,82;10;10;40;
164;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;48,14;10;10;40;
165;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;44,59;10;10;40;
167;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;41,86;10;10;40;
168;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;41,64;10;10;40;
169;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;41,64;10;10;40;
170;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;41,86;10;10;40;
171;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;41,86;10;10;40;
172;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;40,82;10;10;40;
173;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;41,64;10;10;40;
174;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;41,64;10;10;40;
175;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;41,86;10;10;40;
176;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;39,35;10;10;40;
