tick;supply
456;1877.25
457;1927.75
458;1931.25
459;2009.00
460;2081.75
461;2097.00
462;2060.25
463;2085.75
464;2109.75
465;2140.25
466;2151.75
467;2239.50
468;2294.00
469;2343.50
470;2441.75
471;2396.25
472;2338.25
473;2386.25
474;2451.25
475;2452.75
476;2490.25
477;2529.50
478;2583.00
479;2625.00
480;2672.75
481;2723.50
482;2797.25
483;2750.25
484;2855.00
485;2978.25
486;2964.75
487;2989.50
488;3025.75
489;3137.50
490;3168.50
491;3284.00
492;3425.00
493;3418.50
494;3431.75
495;3498.75
496;3581.50
497;3645.25
498;3720.75
499;3726.75
500;3863.00
501;3895.25
502;3968.25
503;4005.50
504;4150.75
505;4232.50
506;4417.50
507;4500.50
508;4485.75
509;4429.50
510;4449.25
511;4500.75
512;4611.00
513;4711.75
514;4823.75
515;4968.50
516;5069.25
517;5215.50
518;5210.75
519;5374.75
520;5562.75
521;5716.00
522;5808.50
523;5781.75
524;5730.25
525;5681.75
526;5653.00
527;5583.75
528;5571.25
529;5449.00
530;5333.25
531;5242.75
532;5144.00
533;5002.75
534;4780.25
535;4692.25
536;4673.25
537;4476.25
538;4283.75
539;4049.75
540;3793.75
541;3702.75
542;3576.50
543;3500.75
544;3397.00
545;3318.25
546;3399.25
547;3405.00
548;3521.25
549;3569.75
550;3626.50
551;3618.75
552;3729.25
553;3821.50
554;3916.75
555;3890.75
556;3791.75
557;3817.75
558;3881.00
559;3780.00
560;3873.75
561;3837.25
562;3849.00
563;3794.75
564;3809.00
565;3906.25
566;3869.50
567;3898.00
568;3808.00
569;3806.25
570;3836.25
571;3914.00
572;3866.25
573;3717.50
574;3698.50
575;3760.75
576;3647.00
577;3671.75
578;3785.25
579;3834.50
580;3868.25
581;4005.50
582;3934.75
583;3946.25
584;4115.00
585;4155.75
586;4180.25
587;4240.00
588;4308.50
589;4453.00
590;4423.25
591;4447.25
592;4438.25
593;4423.75
594;4407.75
595;4328.25
596;4239.50
597;4198.00
598;4124.00
599;4073.00
600;4228.50
601;4375.25
602;4430.25
603;4310.25
604;4268.75
605;4284.00
606;4317.50
607;4316.75
608;4267.00
609;4229.00
610;4193.25
611;4286.50
612;4349.75
613;4474.50
614;4578.25
615;4810.50
616;5013.25
617;5288.25
618;5484.25
619;5711.00
620;5957.50
621;6055.25
622;6247.00
623;6322.50
624;6380.25
625;6439.50
626;6374.25
627;6184.50
628;6028.50
629;5845.25
630;5597.25
631;5382.25
632;5091.25
633;4703.75
634;4393.75
635;4040.75
636;3780.75
637;3536.25
638;3285.50
639;3125.25
640;3059.50
641;2998.75
642;2961.25
643;2924.00
644;2986.25
645;3100.00
646;3258.50
647;3367.25
648;3476.25
649;3607.75
650;3767.00
651;3837.75
652;3903.50
653;3942.50
654;4034.50
655;4036.00
656;3981.75
657;4063.00
658;4038.00
659;3969.50
660;4011.25
661;3925.00
662;3889.75
663;3832.00
664;3680.00
665;3602.50
666;3530.50
667;3489.75
668;3489.25
669;3418.50
670;3369.00
671;3286.25
672;3287.25
673;3309.50
674;3286.50
675;3202.50
676;3155.25
677;3100.50
678;2947.25
679;2882.50
680;2780.25
681;2710.00
